No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
10,Bol Bol,PF,7-2,220,"November 16, 1999",sd,3,Oregon
20,Markelle Fultz,PG,6-3,209,"May 29, 1998",us,5,Washington
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us,2,UNC
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,4,Duke
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de,4,Michigan
4,Jalen Suggs,SG,6-4,205,"June 3, 2001",us,1,Gonzaga
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca,R,Michigan
14,Gary Harris,SG,6-4,210,"September 14, 1994",us,8,Michigan State
25,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb,2,Tennessee
7,Kevon Harris  (TW),SG,6-6,216,"June 24, 1997",us,R,Stephen F. Austin
3,Chuma Okeke,SF,6-6,229,"August 18, 1998",us,2,Auburn
35,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,3,
1,Jonathan Isaac,PF,6-11,230,"October 3, 1997",us,3,Florida State
11,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us,8,Syracuse
0,Jay Scrubb  (TW),SG,6-5,220,"September 1, 2000",us,2,John A. Logan College
20,Georges Niang,PF,6-7,230,"June 17, 1993",us,6,Iowa State
8,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us,4,USC
18,Shake Milton,SG,6-5,205,"September 26, 1996",us,4,SMU
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,11,Texas
12,Tobias Harris,SF,6-8,226,"July 15, 1992",us,11,Tennessee
44,Paul Reed,C,6-9,210,"June 14, 1999",us,2,DePaul
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm,6,Kansas
0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",us,2,Kentucky
1,James Harden,PG,6-5,220,"August 26, 1989",us,13,Arizona State
5,Montrezl Harrell,C,6-7,240,"January 26, 1994",us,7,Louisville
25,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us,6,Texas A&M
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr,5,
7,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,3,San Diego State
11,Jaden Springer,SG,6-4,204,"September 25, 2002",us,1,Tennessee
14,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,9,USC
9,Mac McClung  (TW),SG,6-2,185,"January 6, 1999",us,1,"Georgetown, Texas Tech"
23,Louis King  (TW),PF,6-7,205,"April 6, 1999",us,3,Oregon
0,Torrey Craig,PF,6-7,221,"December 19, 1990",us,5,USC Upstate
10,Damion Lee,SG,6-5,210,"October 21, 1992",us,5,"Drexel, Louisville"
2,Josh Okogie,SG,6-4,213,"September 1, 1998",ng,4,Georgia Tech
11,Jock Landale,C,6-11,256,"October 25, 1995",au,1,Saint Mary's
22,Deandre Ayton,C,6-11,250,"July 23, 1998",bs,4,Arizona
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd,11,
12,Ish Wainright,SF,6-6,250,"September 12, 1994",us,1,Baylor
3,Chris Paul,PG,6-0,175,"May 6, 1985",us,17,Wake Forest
1,Devin Booker,SG,6-5,206,"October 30, 1996",us,7,Kentucky
15,Cameron Payne,PG,6-1,183,"August 8, 1994",us,7,Murray State
14,Landry Shamet,SG,6-4,190,"March 13, 1997",us,4,Wichita State
38,Saben Lee  (TW),PG,6-2,183,"June 23, 1999",us,2,Vanderbilt
8,Terrence Ross,SG,6-6,206,"February 5, 1991",us,10,Washington
21,T.J. Warren,SF,6-8,220,"September 5, 1993",us,7,NC State
35,Kevin Durant,PF,6-10,240,"September 29, 1988",us,14,Texas
55,Darius Bazley,C,6-8,208,"June 12, 2000",us,3,
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca,R,Kentucky
24,Drew Eubanks,C,6-9,245,"February 1, 1997",us,4,Oregon State
9,Jerami Grant,PF,6-8,210,"March 12, 1994",us,8,Syracuse
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us,4,
2,Trendon Watford,PF,6-9,240,"November 9, 2000",us,1,LSU
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us,10,Weber State
34,Jabari Walker,SF,6-9,215,"July 30, 2002",us,R,Colorado
10,Nassir Little,SF,6-5,220,"February 11, 2000",us,3,UNC
27,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,8,
6,Keon Johnson,SG,6-5,186,"March 10, 2002",us,1,Tennessee
26,Justise Winslow,PF,6-6,222,"March 26, 1996",us,7,Duke
4,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us,3,Washington
11,Kevin Knox,PF,6-7,215,"August 11, 1999",us,4,Kentucky
5,Cam Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke
21,John Butler  (TW),C,7-1,175,"December 4, 2002",us,R,Florida State
8,Skylar Mays,PG,6-4,205,"September 5, 1997",us,2,LSU
23,Jeenathan Williams,SG,6-5,205,"February 12, 1999",us,R,Buffalo
50,Chance Comanche,C,6-10,210,"April 14, 1996",us,R,Arizona
NA,Ibou Badji  (TW),C,7-1,240,"October 13, 2002",sn,R,
40,Harrison Barnes,PF,6-8,225,"May 30, 1992",us,10,UNC
13,Keegan Murray,SF,6-8,215,"August 19, 2000",us,R,Iowa
15,Davion Mitchell,PG,6-2,205,"September 5, 1998",us,1,"Auburn, Baylor"
10,Domantas Sabonis,C,6-11,240,"May 3, 1996",us,6,Gonzaga
0,Malik Monk,SG,6-3,200,"February 4, 1998",us,5,Kentucky
9,Kevin Huerter,SG,6-7,190,"August 27, 1998",us,4,Maryland
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,7,Kentucky
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us,5,Kentucky
7,Chimezie Metu,PF,6-9,225,"March 22, 1997",us,4,USC
3,Terence Davis,SG,6-4,201,"May 16, 1997",us,3,Ole Miss
22,Richaun Holmes,C,6-10,235,"October 15, 1993",us,7,Bowling Green
8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au,8,Saint Mary's
25,Alex Len,C,7-0,250,"June 16, 1993",ua,9,Maryland
17,Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine
23,Keon Ellis  (TW),SG,6-6,175,"January 8, 2000",us,R,"Florida SouthWestern State College, Alabama"
35,PJ Dozier,SF,6-6,205,"October 25, 1996",us,5,South Carolina
88,Neemias Queta  (TW),C,7-0,245,"July 13, 1999",pt,1,Utah State University
33,Tre Jones,PG,6-1,185,"January 8, 2000",us,2,Duke
31,Keita Bates-Diop,PF,6-8,229,"January 23, 1996",us,4,Ohio State
22,Malaki Branham,SG,6-5,180,"May 12, 2003",us,R,Ohio State
17,Doug McDermott,SF,6-7,225,"January 3, 1992",us,8,Creighton
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,3,Kentucky
23,Zach Collins,C,6-11,250,"November 19, 1997",us,4,Gonzaga
10,Jeremy Sochan,PF,6-9,230,"May 20, 2003",us,R,Baylor
35,Romeo Langford,SG,6-4,216,"October 25, 1999",us,3,Indiana
24,Devin Vassell,SG,6-5,200,"August 23, 2000",us,2,Florida State
14,Blake Wesley,SG,6-5,185,"March 16, 2003",us,R,Notre Dame
28,Charles Bassey,C,6-11,235,"October 28, 2000",ng,1,Western Kentucky
41,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,9,Louisville
26,Dominick Barlow  (TW),PF,6-9,221,"May 26, 2003",us,R,
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us,4,Kansas
54,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us,1,Seton Hall
30,Julian Champagnie  (TW),SF,6-8,220,"June 29, 2001",us,R,St. John's
NA,Khem Birch,C,6-9,233,"September 28, 1992",ca,5,"Pitt, UNLV"
4,Scottie Barnes,SF,6-9,227,"August 1, 2001",us,1,Florida State
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,5,Oregon
43,Pascal Siakam,PF,6-9,230,"April 2, 1994",cm,6,New Mexico State
23,Fred VanVleet,PG,6-1,197,"February 25, 1994",us,6,Wichita State
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,5,Indiana
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,4,Duke
35,Christian Koloko,C,7-1,230,"June 20, 2000",cm,R,Arizona
5,Precious Achiuwa,C,6-8,225,"September 19, 1999",ng,2,Memphis
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,15,Georgia Tech
22,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,2,"Washington State, San Diego State"
45,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,1,Nebraska
19,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,6,Utah
20,Jeff Dowtin  (TW),PG,6-3,185,"May 10, 1997",us,1,Rhode Island
1,Will Barton,SG,6-6,181,"January 6, 1991",us,10,Memphis
8,Ron Harper Jr.  (TW),PF,6-6,245,"April 12, 2000",us,R,Rutgers University
11,Joe Wieskamp,SF,6-6,212,"August 23, 1999",us,1,Iowa
32,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us,9,Georgetown
24,Walker Kessler,C,7-1,245,"July 26, 2001",us,R,"UNC, Auburn"
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca,9,Gonzaga
23,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi,5,Arizona
0,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us,3,Iowa State
0,Jordan Clarkson,SG,6-4,194,"June 7, 1992",us,8,"Tulsa, Missouri"
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us,R,Kansas
22,Rudy Gay,PF,6-8,250,"August 17, 1986",us,16,UConn
16,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it,R,
2,Collin Sexton,PG,6-1,190,"January 4, 1999",us,4,Alabama
20,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng,2,Kansas
11,Kris Dunn,PG,6-3,205,"March 18, 1994",us,6,Providence
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us,3,Marquette
15,Damian Jones,C,6-11,245,"June 30, 1995",us,6,Vanderbilt
33,Johnny Juzang  (TW),SG,6-7,215,"March 17, 2001",us,R,"Kentucky, UCLA"
19,Luka Šamanić,PF,6-10,227,"January 9, 2000",hr,2,
25,Micah Potter  (TW),PF,6-10,248,"April 6, 1998",us,1,"Ohio State, Wisconsin"
NA,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us,2,Duke
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us,3,Arkansas
9,Deni Avdija,SF,6-9,210,"January 3, 2001",il,2,
24,Corey Kispert,SF,6-7,220,"March 3, 1999",us,1,Gonzaga
6,Kristaps Porziņģis,C,7-3,240,"August 2, 1995",lv,6,
33,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us,5,Utah
22,Monte Morris,PG,6-2,183,"June 27, 1995",us,5,Iowa State
7,Jordan Goodwin,PG,6-3,200,"October 23, 1998",us,1,Saint Louis
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us,2,"South Carolina, Virginia"
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us,10,Florida
55,Delon Wright,PG,6-5,185,"April 26, 1992",us,7,Utah
67,Taj Gibson,C,6-9,232,"June 24, 1985",us,13,USC
20,Kendrick Nunn,SG,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland"
1,Johnny Davis,SG,6-5,196,"February 27, 2002",us,R,Wisconsin
12,Xavier Cooks,PF,6-8,183,"August 19, 1995",au,R,Winthrop University
29,Quenton Jackson  (TW),PG,6-5,175,"September 15, 1998",us,R,Texas A&M
34,Jay Huff  (TW),C,7-1,240,"August 25, 1998",us,1,Virginia
14,Isaiah Todd,PF,6-10,220,"October 17, 2001",us,1,
